,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.17EGM16,-5.888475710719062e-17,3.5657991803798765e-17,0.0,0.0,0.13122127235338224,0.0016390090020576159,0.26381006275000046,0.05257424250000005,0.029587483200000025,0.008574035499759044,0.5125938946948013,2.715,EGM16,0.17
0.17EGM17,-1.7665427132157186e-16,3.5657991803798765e-17,-5.3045352027394213e-17,0.0003107914681839175,0.0,0.0016390090020576157,0.39510125448188854,0.05257424250000005,0.029587483200000025,0.008567772205098063,0.5122194471427726,2.715,EGM17,0.17
0.17EGM18,0.0,3.5657991803798765e-17,5.3045352027394213e-17,0.0,0.0,0.1330575599246365,0.2638536609672056,0.052552170016603145,0.029587483200000025,0.008570435823430604,0.5123786900681249,2.715,EGM18,0.17
0.17EGM19,0.0,3.5657991803798765e-17,5.3045352027394213e-17,0.0,0.0,0.0016390090020576159,0.3952722118897844,0.052552170016603145,0.029587483200000025,0.008570435823430604,0.5123786900681249,2.715,EGM19,0.17
0.17EGM20,-5.888475710719062e-17,5.348698770569815e-17,0.0,0.0,0.0,0.13286028135543987,0.26381006275000046,0.05257424250000005,0.029587483200000025,0.008574035499759044,0.5125938946948013,2.715,EGM20,0.17
0.175EGM1,-5.87549119978032e-17,-1.0673809012934249e-16,1.0585676644937545e-16,0.0,0.0,0.0016426311213991794,0.26466597963308536,0.05255226182068626,0.02957511301739737,0.13721577962093723,0.5143482347864952,2.721,EGM1,0.175
0.175EGM2,-5.87549119978032e-17,-7.115872675289501e-17,1.0585676644937545e-16,0.0,0.0,0.13023601782106597,0.26466597963308536,0.05255226182068626,0.02957511301739737,0.008622392921270414,0.5143482347864952,2.721,EGM2,0.175
0.175EGM3,-5.87549119978032e-17,-7.115872675289501e-17,1.0585676644937545e-16,0.0,0.0,0.0016426311213991794,0.3932593663327521,0.05255226182068626,0.02957511301739737,0.008622392921270414,0.5143482347864952,2.721,EGM3,0.175
0.175EGM4,-5.87549119978032e-17,-1.0673809012934249e-16,1.0585676644937545e-16,0.0,0.1285933866996668,0.0016426311213991794,0.26466597963308536,0.05255226182068626,0.02957511301739737,0.008622392921270414,0.5143482347864952,2.721,EGM4,0.175
0.175EGM5,-5.87549119978032e-17,-8.894840844111875e-17,1.0585676644937545e-16,0.0,0.0,0.0016426311213991794,0.26466597963308536,0.18114564852035306,0.02957511301739737,0.008622392921270414,0.5143482347864952,2.721,EGM5,0.175
0.175EGM6,5.87549119978032e-17,0.0,-5.2928383224687723e-17,0.00030831368698436046,0.0,0.0016426311213991794,0.2646225627500005,0.18102962053626412,0.02958748320000002,0.00861973451951823,0.5141896541858343,2.721,EGM6,0.175
0.175EGM7,-1.7626473599340962e-16,-8.894840844111875e-17,5.2928383224687723e-17,0.0,0.0,0.13022364763846334,0.26466597963308536,0.05255226182068626,0.029587483200000014,0.008622392921270414,0.5143482347864952,2.721,EGM7,0.175
0.175EGM8,5.87549119978032e-17,0.0,-5.2928383224687723e-17,0.00030831368698436046,0.12845537803626403,0.0016426311213991794,0.2646225627500005,0.052574242500000035,0.02958748320000002,0.00861973451951823,0.5141896541858343,2.721,EGM8,0.175
0.175EGM9,5.87549119978032e-17,-1.0673809012934249e-16,0.0,0.0,0.0,0.0016426311213991794,0.2646225627500004,0.05257424250000005,0.02958748320000002,0.1370097126827856,0.5145633677458152,2.721,EGM9,0.175
0.175EGM10,-1.7626473599340962e-16,-8.894840844111875e-17,5.2928383224687723e-17,0.0,0.0,0.0016426311213991794,0.39324699615014946,0.05255226182068626,0.029587483200000014,0.008622392921270414,0.5143482347864952,2.721,EGM10,0.175
0.175EGM11,5.87549119978032e-17,1.7789681688223752e-17,-5.2928383224687723e-17,0.00030831368698436046,0.0,0.0016426311213991794,0.2646225627500005,0.052574242500000035,0.02958748320000002,0.13707511255578228,0.5141896541858343,2.721,EGM11,0.175
0.175EGM12,5.87549119978032e-17,-3.5579363376447504e-17,0.0,0.0,0.0,0.001642631121399179,0.39300627608151323,0.052574242500000035,0.029587483200000014,0.008625999351272732,0.5145633677458152,2.721,EGM12,0.175
0.175EGM13,5.87549119978032e-17,-5.3369045064671247e-17,0.0,0.0,0.0,0.001642631121399179,0.2646225627500004,0.18095795583151286,0.029587483200000014,0.008625999351272732,0.5145633677458152,2.721,EGM13,0.175
0.175EGM14,-1.7626473599340962e-16,-7.115872675289501e-17,5.2928383224687723e-17,0.0,0.12858101651706413,0.0016426311213991794,0.26466597963308536,0.05255226182068626,0.029587483200000014,0.008622392921270414,0.5143482347864952,2.721,EGM14,0.175
0.175EGM15,5.87549119978032e-17,5.3369045064671247e-17,-5.2928383224687723e-17,0.00030831368698436046,0.0,0.0016426311213991794,0.3930779407862645,0.052574242500000035,0.02958748320000002,0.00861973451951823,0.5141896541858343,2.721,EGM15,0.175
0.175EGM16,5.87549119978032e-17,-7.115872675289501e-17,0.0,0.0,0.0,0.13002634445291206,0.2646225627500004,0.052574242500000035,0.029587483200000014,0.008625999351272732,0.5145633677458152,2.721,EGM16,0.175
0.175EGM17,5.87549119978032e-17,-7.115872675289501e-17,0.0,0.0,0.12838371333151286,0.001642631121399179,0.2646225627500004,0.052574242500000035,0.029587483200000014,0.008625999351272732,0.5145633677458152,2.721,EGM17,0.175
0.175EGM18,5.87549119978032e-17,-1.7789681688223752e-17,-5.2928383224687723e-17,0.00030831368698436046,0.0,0.13009800915766323,0.2646225627500005,0.052574242500000035,0.02958748320000002,0.00861973451951823,0.5141896541858343,2.721,EGM18,0.175
0.175EGM19,5.87549119978032e-17,-5.3369045064671247e-17,5.2928383224687723e-17,0.0,0.0,0.0016426311213991794,0.2646659796330853,0.05255226182068626,0.02958748320000002,0.13720340943833456,0.5143482347864952,2.721,EGM19,0.175
0.175EGM20,-1.7626473599340962e-16,-1.0673809012934249e-16,5.2928383224687723e-17,0.0,0.0,0.0016426311213991794,0.26466597963308536,0.18113327833775042,0.029587483200000014,0.008622392921270414,0.5143482347864952,2.721,EGM20,0.175
0.18EGM1,0.0,1.0650324284632966e-16,-5.2811929136184563e-17,0.0,0.12574244697239528,0.0016462532407407432,0.26548166538996215,0.05255064896653126,0.029574205342974582,0.008674702248914234,0.5163300778384825,2.727,EGM1,0.18
