,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.805EGM3,-1.5150882822784548e-17,0.0,2.729684055238349e-17,0.0,0.0,0.0015925251371742132,0.3274531215644677,0.015074727896608105,0.0015599439952978863,0.010464180349153198,0.6438555010572994,2.638,EGM3,0.805
0.805EGM4,9.090529693670729e-17,-2.935904404770694e-16,0.0,0.0011397584743322864,0.0,0.0015925251371742132,0.3272167523573343,0.015194394610855888,0.0012826544156566855,0.01045225371092331,0.643121661293724,2.638,EGM4,0.805
0.805EGM5,-1.5150882822784548e-17,-2.201928303578021e-16,0.0,0.0,0.0,0.0015925251371742132,0.3274531215644678,0.015074727896608105,0.0012725525956521304,0.010751571748798955,0.6438555010572995,2.638,EGM5,0.805
0.805EGM6,-1.0605617975949182e-16,-7.339761011926736e-17,-2.729684055238349e-17,0.0,0.00028739139964575346,0.0015925251371742132,0.3274531215644677,0.015074727896608105,0.00127255259565213,0.010464180349153198,0.6438555010572995,2.638,EGM6,0.805
0.805EGM7,-1.5150882822784548e-17,-1.467952202385347e-16,0.0,0.0,0.0,0.001879916536819969,0.3274531215644678,0.015074727896608105,0.0012725525956521304,0.0104641803491532,0.6438555010572995,2.638,EGM7,0.805
0.805EGM8,-1.5150882822784548e-17,-7.339761011926736e-17,0.0,0.0,0.0,0.0015925251371742132,0.3277405129641135,0.015074727896608105,0.0012725525956521304,0.0104641803491532,0.6438555010572995,2.638,EGM8,0.805
0.81EGM1,-4.557357911802239e-17,7.359289072391764e-17,0.0,0.0,0.0,0.0015882993312757226,0.3273198239543516,0.014977594192586532,0.001237737844689641,0.010445738641791255,0.6444308060353058,2.631,EGM1,0.81
0.81EGM2,-3.0382386078681594e-17,7.359289072391764e-17,-1.36847330629395e-17,0.0,0.0,0.0015882993312757228,0.3273055970127223,0.01466951312407491,0.0012383458680667039,0.010450869981446212,0.6447473746824149,2.631,EGM2,0.81
0.81EGM3,-4.557357911802239e-17,1.4718578144783527e-16,-2.7369466125879e-17,0.0,0.0,0.0015882993312757228,0.3273198239543516,0.014662310445776728,0.001553021591499446,0.010445738641791255,0.6444308060353059,2.631,EGM3,0.81
0.81EGM4,0.0,-7.359289072391764e-17,0.0,0.001253559943201564,0.0,0.0015882993312757226,0.32705962169878994,0.014794043125090365,0.001248858228695411,0.010432644282252752,0.643622973390695,2.631,EGM4,0.81
0.81EGM5,-4.557357911802239e-17,1.4718578144783527e-16,0.0,0.0,0.0,0.0015882993312757226,0.3273198239543516,0.014662310445776728,0.001237737844689641,0.01076102238860106,0.6444308060353058,2.631,EGM5,0.81
0.81EGM6,-4.557357911802239e-17,7.359289072391764e-17,0.0,0.0,0.0003152837468098646,0.0015882993312757226,0.3273198239543516,0.014662310445776726,0.0012377378446896405,0.010445738641791255,0.6444308060353058,2.631,EGM6,0.81
0.81EGM7,-4.557357911802239e-17,0.0,0.0,0.0,0.0,0.001903583078085528,0.3273198239543516,0.014662310445776728,0.001237737844689641,0.010445738641791255,0.6444308060353058,2.631,EGM7,0.81
0.81EGM8,-4.557357911802239e-17,7.359289072391764e-17,0.0,0.0,0.0,0.0015882993312757226,0.32763510770116144,0.014662310445776728,0.001237737844689641,0.010445738641791255,0.6444308060353058,2.631,EGM8,0.81
0.815EGM1,0.0,0.0,0.0,0.0,0.0,0.0015846772119341586,0.32729951282293895,0.014261733294775583,0.001203881703032562,0.010434608802984843,0.6452155861643344,2.625,EGM1,0.815
0.815EGM2,1.522591576628786e-17,7.37611030455723e-17,2.7432024905595292e-17,0.0,0.0,0.0015846772119341586,0.32729949159297156,0.014261259481496275,0.0012038826103474864,0.010434616667109927,0.645216072436141,2.625,EGM2,0.815
0.815EGM3,-1.522591576628786e-17,1.475222060911446e-16,1.3716012452797646e-17,0.0,0.0,0.0015846772119341584,0.32729951282293895,0.01426124873339388,0.0012043662644142619,0.010434608802984843,0.6452155861643344,2.625,EGM3,0.815
0.815EGM4,1.2180732613030287e-16,-1.475222060911446e-16,1.3716012452797646e-17,1.933426996658549e-06,0.0,0.0015846772119341586,0.32729911101150944,0.0142614521585951,0.0012038988754332588,0.010434588628430483,0.6452143386871015,2.625,EGM4,0.815
0.815EGM5,1.0658141036401502e-16,0.0,1.3716012452797646e-17,0.0,0.0,0.0015846772119341584,0.32729951282293895,0.01426124873339388,0.001203881703032562,0.010435093364366543,0.6452155861643344,2.625,EGM5,0.815
0.815EGM6,1.0658141036401502e-16,0.0,1.3716012452797646e-17,0.0,4.845613816757893e-07,0.0015846772119341584,0.327299512822939,0.01426124873339388,0.001203881703032562,0.010434608802984843,0.6452155861643344,2.625,EGM6,0.815
0.815EGM7,0.0,0.0,0.0,0.0,0.0,0.0015851617733158585,0.32729951282293895,0.01426124873339388,0.001203881703032562,0.010434608802984843,0.6452155861643344,2.625,EGM7,0.815
0.815EGM8,0.0,0.0,0.0,0.0,0.0,0.0015846772119341586,0.3272999973843207,0.01426124873339388,0.001203881703032562,0.010434608802984843,0.6452155861643344,2.625,EGM8,0.815
0.82EGM1,-1.984661480231372e-16,0.0,-1.3752686282885343e-17,0.0,0.0,0.0015804514060356676,0.32716217324935937,0.013893933360447688,0.0011692396953299415,0.010415859961742798,0.6457783423270852,2.618,EGM1,0.82
0.82EGM2,-1.5266626771010556e-16,-7.395832524622892e-17,0.0,0.0,0.0,0.001580451406035668,0.3271603437280073,0.013851803841061761,0.0011693178844291775,0.010416556488478447,0.6458215266519883,2.618,EGM2,0.82
0.82EGM3,-7.633313385505278e-17,0.0,1.3752686282885343e-17,0.0,0.0,0.0015804514060356676,0.32716217324935937,0.013850877608700525,0.0012122954470771034,0.010415859961742798,0.6457783423270851,2.618,EGM3,0.82
0.82EGM4,-2.1373277479414777e-16,7.395832524622892e-17,0.0,0.00017222486705699907,0.0,0.0015804514060356676,0.327126349668754,0.013869014024334412,0.001170770704244266,0.010414066091645602,0.6456671232379296,2.618,EGM4,0.82
0.82EGM5,-7.633313385505278e-17,7.395832524622892e-17,0.0,0.0,0.0,0.001580451406035668,0.32716217324935937,0.013850877608700529,0.0011692396953299415,0.01045891571348996,0.6457783423270852,2.618,EGM5,0.82
0.82EGM6,-7.633313385505278e-17,-7.395832524622892e-17,-1.3752686282885343e-17,0.0,4.305575174712518e-05,0.0015804514060356676,0.32716217324935937,0.013850877608700525,0.001169239695329941,0.010415859961742798,0.6457783423270852,2.618,EGM6,0.82
0.82EGM7,-1.984661480231372e-16,7.395832524622892e-17,-1.3752686282885343e-17,0.0,0.0,0.0016235071577828301,0.32716217324935937,0.013850877608700525,0.0011692396953299415,0.010415859961742798,0.6457783423270852,2.618,EGM7,0.82
0.82EGM8,-1.984661480231372e-16,7.395832524622892e-17,-1.3752686282885343e-17,0.0,0.0,0.0015804514060356676,0.3272052290011065,0.013850877608700525,0.0011692396953299415,0.010415859961742798,0.6457783423270852,2.618,EGM8,0.82
0.825EGM1,-1.5307556065302806e-17,1.483132098771561e-16,0.0,0.0,0.0,0.0015762256001371764,0.32702251715382125,0.013535707126427614,0.0011346966898964543,0.010396946891604046,0.6463339065381138,2.611,EGM1,0.825
