,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
0.47EGM3,5.927777777777781,7.549080733944958,1.134,0.00022824987586891752,0.00022824987586891752,9.76070816186558e-06,0.00022374636508664652,0.0004609980366990372,1.3444200000000006e-05,8.118087251737838e-06,0.00022824987586891752,0.47,1.067,EGM3
0.47EGM4,5.927777777777782,7.549639268220857,1.13371723067314,0.0002281929604687806,0.0002281929604687806,0.00323744086748067,0.00022376291942199054,3.3602119031340036e-05,1.3440847612536013e-05,8.116062960672967e-06,0.0002281929604687806,0.47,1.067,EGM4
0.47EGM5,5.927777777777781,7.549639268220858,1.13371723067314,0.00022819296046878057,0.00022819296046878057,9.76070816186558e-06,0.00022376291942199054,0.0004613087151890013,1.3444200000000008e-05,8.116062960672967e-06,0.00022819296046878057,0.47,1.067,EGM5
0.47EGM6,5.927777777777781,7.549080733944958,1.134,0.00022824987586891752,0.00022824987586891752,9.76070816186558e-06,0.0006511339017856837,3.361050000000002e-05,1.3444200000000006e-05,8.118087251737838e-06,0.00022824987586891752,0.47,1.067,EGM6
0.47EGM7,5.9277777777777825,7.54908073394496,1.1340000000000001,0.0002282498758689176,0.00022816303810397584,9.760708161865582e-06,0.0006513698683490028,3.3610500000000027e-05,1.344420000000001e-05,8.114998721898077e-06,0.00022816303810397584,0.47,1.067,EGM7
0.47EGM8,5.927777777777781,7.549639268220858,1.13371723067314,0.00022819296046878057,0.00022819296046878057,0.003237422714769603,0.00022376291942199054,3.360211903134003e-05,1.3444200000000008e-05,8.116062960672967e-06,0.00022819296046878057,0.47,1.067,EGM8
0.47EGM9,5.9277777777777825,7.54908073394496,1.1340000000000001,0.0002282498758689176,0.00022816303810397584,0.0032367956592516283,0.00022374636508664655,3.3610500000000027e-05,1.344420000000001e-05,8.114998721898077e-06,0.00022816303810397584,0.47,1.067,EGM9
0.47EGM10,5.927777777777781,7.549080733944958,1.134,0.00022824987586891752,0.00022824987586891752,0.0032350149518272004,0.00022374636508664652,3.361050000000002e-05,1.3444200000000006e-05,8.118087251737838e-06,0.00022824987586891752,0.47,1.067,EGM10
0.47EGM11,5.927777777777781,7.549080733944958,1.134,0.00022824987586891752,0.00022824987586891752,9.76070816186558e-06,0.00022374636508664652,3.361050000000002e-05,1.3444200000000006e-05,8.118087251737838e-06,0.0003871965810155097,0.47,1.067,EGM11
0.47EGM12,5.927777777777782,7.549639268220857,1.13371723067314,0.0002281929604687806,0.0002281929604687806,9.76070816186558e-06,0.0006514719210465953,3.3602119031340036e-05,1.3440847612536013e-05,8.116062960672967e-06,0.0002281929604687806,0.47,1.067,EGM12
