"","X","vIG","vEAA","vENT","vRNAP","vRNase","vAF","wIG","wEAA","wENT","wRNAP","wRNase","wAF","wrP","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","C","growth_rate","prot_fraction","EGVs","name"
"9675","EGM5",0.000669078657529559,0.000651258619114621,0.00022966543832711,0.000864019079700467,0.000863968481533586,5.05981668814415e-08,1.24351736100432e-13,4.35743242581765e-12,7.68321215784202e-13,1.02901377998216e-08,1.49081333790417e-09,2.03124921422948e-13,5.05981668814415e-08,0,0,0,0,0,0,0,0,26.9972196757407,0,1,0.000120434158355321,0.36,"EGM5","deg_hill-6_glc"
"9676","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,2.83286974243492e-07,2.07071892620946e-12,0,0,0,0,0,0,0,8.49860922705538e-06,0,0,1,0.000120434158355321,0.36,"EGM6","deg_hill-6_glc"
"9677","EGM7",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,1.45443245534596e-07,0,1.4544117481567e-07,0,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM7","deg_hill-6_glc"
"9678","EGM8",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.71024656323285e-06,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,0,0,1.10823969239496,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM8","deg_hill-6_glc"
"9679","EGM9",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,2.26636971917597e-07,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0.00407933242898658,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM9","deg_hill-6_glc"
"9680","EGM10",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26629579419587e-07,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0.00815866485797316,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM10","deg_hill-6_glc"
"14473","EGM1",0.000669078657529559,0.000635450520336219,0.000237668609561879,5.23613655441015e-08,NA,5.23613655441015e-08,1.24351736100432e-13,4.25166381073017e-12,7.95094971112895e-13,6.23603898912075e-13,NA,2.10203232987972e-13,5.23613655441015e-08,0,0,0,0,0,0,0,27.938032608717,NA,NA,1,0.000120434158355321,0.36,"EGM1","RBA_glc"
"14474","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26629891747659e-07,2.46614728725444e-17,NA,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0.00815867610178375,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM2","RBA_glc"
"14475","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.15843545512526e-07,NA,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,3.19391850319204e-06,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM3","RBA_glc"
"14476","EGM4",0.000669078657529559,0.000371380886649498,0.000371359227638297,8.18150798390622e-08,NA,4.05926670528727e-17,1.24351736100432e-13,2.48483025071583e-12,1.24234266744723e-12,9.74386405840962e-13,NA,1.62958123063682e-22,4.05926670528727e-17,8.18150797984696e-08,0,0,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM4","RBA_glc"
"14477","EGM5",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.46614728725444e-17,NA,2.83287364653582e-07,2.07071892620946e-12,0,0,0,0,0,0,8.49862093935807e-06,0,NA,NA,1,0.000120434158355321,0.36,"EGM5","RBA_glc"
"14478","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.46614728725444e-17,NA,8.31284303561564e-18,1.45443445973399e-07,0,1.45441375254473e-07,0,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM6","RBA_glc"
"14479","EGM7",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.71024892019779e-06,7.3925294533236e-12,3.14433779124942e-17,2.46614728725444e-17,NA,8.31284303561564e-18,2.07071892620946e-12,0,0,1.10824121970824,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM7","RBA_glc"
"14480","EGM8",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,2.26637284245669e-07,3.14433779124942e-17,2.46614728725444e-17,NA,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0.00407933805089187,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM8","RBA_glc"
"18328","EGM1",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,2.83284813083486e-07,2.07071892620946e-12,NA,0,0,0,0,0,0,8.49854439225519e-06,NA,NA,1,0.000120434158355321,0.36,"EGM1","deg_glc_noacc"
"18329","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,2.26635242989592e-07,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0.00407930130828249,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM2","deg_glc_noacc"
"18330","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,1.4544213598252e-07,NA,1.45440065263594e-07,0,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM3","deg_glc_noacc"
"18331","EGM4",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.71023351598204e-06,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,1.10823123777643,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM4","deg_glc_noacc"
"18332","EGM5",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.15843452836618e-07,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0,3.19388973555904e-06,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM5","deg_glc_noacc"
"18333","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,1.35893123637577e-06,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0,0,9.48465778123845e-05,0,NA,NA,1,0.000120434158355321,0.36,"EGM6","deg_glc_noacc"
"18334","EGM7",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26627850491582e-07,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0.00815860261656498,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM7","deg_glc_noacc"
"21667","EGM1",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,2.83286333021467e-07,2.07071892620946e-12,NA,0,0,0,0,0,0,8.49858999039464e-06,NA,NA,1,0.000120434158355321,0.36,"EGM1","deg_hill-2_glc_noacc"
"21668","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,2.26636458939977e-07,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0.00407932319538943,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM2","deg_hill-2_glc_noacc"
"21669","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,1.45442916327491e-07,NA,1.45440845608565e-07,0,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM3","deg_hill-2_glc_noacc"
"21670","EGM4",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.71024269207821e-06,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,1.10823718388676,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM4","deg_hill-2_glc_noacc"
"21671","EGM5",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.15843508042482e-07,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0,3.19390687207358e-06,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM5","deg_hill-2_glc_noacc"
"21672","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.35893829006337e-06,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0,0,9.48470867027641e-05,0,NA,NA,1,0.000120434158355321,0.36,"EGM6","deg_hill-2_glc_noacc"
"21673","EGM7",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26629066441967e-07,1.11274479667253e-12,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0.00815864639077885,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM7","deg_hill-2_glc_noacc"
"25034","EGM1",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,2.83286974243492e-07,2.07071892620946e-12,NA,0,0,0,0,0,0,8.49860922705538e-06,NA,NA,1,0.000120434158355321,0.36,"EGM1","deg_hill-6_glc_noacc"
