,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.795EGM8,3.014180157353366e-17,-7.301014158922598e-17,0.0,0.0,0.0,0.0016009767489711065,0.32796873413540595,0.015902915810591646,0.001342465146436189,0.010500578946935051,0.642684329211633,2.652,EGM8,0.795
0.8EGM1,4.533235790529939e-17,1.464067262719299e-16,-2.7224599386460358e-17,0.0,0.0,0.0015967509430726166,0.32757141041980276,0.015494743834522696,0.0013080087827007033,0.010486842627204963,0.6435422433926693,2.645,EGM1,0.8
0.8EGM2,3.0221571936866264e-17,1.464067262719299e-16,0.0,0.0,0.0,0.0015967509430726166,0.3275842004926621,0.015755818323101023,0.0013074621674480768,0.01048246018864053,0.6432733078850487,2.645,EGM2,0.8
0.8EGM3,-1.0577550177903193e-16,2.1961008940789485e-16,0.0,0.0,0.0,0.0015967509430726166,0.3275842004926621,0.015488268600237188,0.001575011890311913,0.01048246018864053,0.6432733078850488,2.645,EGM3,0.8
0.8EGM4,1.5110785968433132e-17,-7.320336313596495e-17,2.7224599386460358e-17,0.001058346988167233,0.0,0.001596750943072617,0.32736491330028644,0.015599287197399074,0.0013168339454962764,0.0104713661084713,0.6425925015170803,2.645,EGM4,0.8
0.8EGM5,3.0221571936866264e-17,7.320336313596495e-17,0.0,0.0,0.0,0.0015967509430726166,0.3275842004926621,0.015488268600237188,0.0013074621674480768,0.010750009911504368,0.6432733078850487,2.645,EGM5,0.8
0.8EGM6,1.5110785968433132e-17,7.320336313596495e-17,0.0,0.0,0.00026754972286382355,0.0015967509430726166,0.3275842004926621,0.015488268600237186,0.0013074621674480768,0.01048246018864053,0.6432733078850488,2.645,EGM6,0.8
0.8EGM7,3.0221571936866264e-17,1.464067262719299e-16,0.0,0.0,0.0,0.0018643006659364524,0.3275842004926621,0.015488268600237188,0.0013074621674480768,0.01048246018864053,0.6432733078850487,2.645,EGM7,0.8
0.8EGM8,3.0221571936866264e-17,1.464067262719299e-16,0.0,0.0,0.0,0.0015967509430726166,0.3278517502155259,0.015488268600237188,0.0013074621674480768,0.01048246018864053,0.6432733078850487,2.645,EGM8,0.8
0.805EGM1,-1.5150882822784548e-16,7.339761011926736e-17,0.0,0.0,0.0,0.001592525137174127,0.3274397692465221,0.0150814877788838,0.0012731232398319285,0.010468872747434419,0.6441442218501271,2.638,EGM1,0.805
