,x,mu,vmax
72,0.73,0.129,2e-06
73,0.74,0.128,2e-06
74,0.75,0.128,2e-06
75,0.76,0.128,2e-06
76,0.77,0.128,2e-06
77,0.78,0.128,2e-06
78,0.79,0.128,2e-06
79,0.8,0.128,2e-06
80,0.81,0.128,2e-06
81,0.8200000000000001,0.128,2e-06
82,0.8300000000000001,0.128,2e-06
83,0.8400000000000001,0.128,2e-06
84,0.85,0.128,2e-06
85,0.86,0.128,2e-06
86,0.87,0.128,2e-06
87,0.88,0.128,2e-06
88,0.89,0.128,2e-06
89,0.9,0.128,2e-06
90,0.91,0.128,2e-06
91,0.92,0.128,2e-06
92,0.93,0.128,2e-06
93,0.9400000000000001,0.128,2e-06
94,0.9500000000000001,0.128,2e-06
95,0.9600000000000001,0.128,2e-06
96,0.97,0.128,2e-06
97,0.98,0.128,2e-06
98,0.99,0.128,2e-06
