,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,growth_rate,EGVs,prot_fraction,name
0.525EGM4,-8.803530591741321e-17,0.0,0.0,4.5376287770697104e-05,0.0,0.0015074053326474633,0.6316325980101078,0.011299506851443599,0.1430793663940261,0.0032185330370690613,0.20921721408693494,2.497000000000002,EGM4,0.525,RBA_reverse
0.525EGM5,7.202888665970171e-17,-3.877110442423451e-17,0.0,0.0,0.0,0.0015074053326474635,0.6316509459366849,0.011294862346109463,0.1430205556079308,0.003299522758379928,0.20922670801824728,2.497000000000002,EGM5,0.525,RBA_reverse
0.525EGM6,-5.602246740199023e-17,1.9385552212117254e-17,0.0,0.0,8.08436696022863e-05,0.0015074053326474635,0.6316509459366848,0.011294862346109463,0.1430205556079308,0.0032186790887776357,0.2092267080182473,2.497000000000002,EGM6,0.525,RBA_reverse
0.525EGM7,-5.602246740199023e-17,-7.754220884846902e-17,0.0,0.0,0.0,0.0015882490022497556,0.6316509459366849,0.011294862346109463,0.1430205556079308,0.0032186790887776357,0.2092267080182473,2.497000000000002,EGM7,0.525,RBA_reverse
0.525EGM8,-5.602246740199023e-17,0.0,0.0,0.0,0.0,0.0015074053326474635,0.6317317896062872,0.011294862346109463,0.1430205556079308,0.0032186790887776357,0.2092267080182473,2.497000000000002,EGM8,0.525,RBA_reverse
0.53EGM1,1.199520674865114e-16,-1.3559026295141957e-16,0.0,0.0,0.0,0.001508612705761318,0.6325439299458603,0.011205931574317863,0.14189447474014075,0.003227308293403545,0.20961974274051598,2.4990000000000023,EGM1,0.53,RBA_reverse
0.53EGM2,8.796484949010836e-17,0.0,-1.440757610587987e-17,0.0,0.0,0.001508612705761318,0.6325487226666793,0.01123954481723,0.14187911258585498,0.0032269588900316246,0.20959704833444262,2.4990000000000023,EGM2,0.53,RBA_reverse
0.53EGM3,-3.9984022495503796e-17,7.748015025795403e-17,-1.440757610587987e-17,0.0,0.0,0.0015086127057613182,0.6325487226666794,0.011204718368165363,0.1419139390349196,0.0032269588900316246,0.20959704833444262,2.4990000000000023,EGM3,0.53,RBA_reverse
0.53EGM4,-3.9984022495503796e-17,-5.811011269346551e-17,1.440757610587987e-17,1.9532401866574508e-05,0.0,0.001508612705761318,0.6325408107496977,0.011206721152538296,0.14190447272969756,0.0032268958597737774,0.20959295440066447,2.4990000000000023,EGM4,0.53,RBA_reverse
0.53EGM5,-3.9984022495503796e-17,9.685018782244253e-17,-1.440757610587987e-17,0.0,0.0,0.001508612705761318,0.6325487226666794,0.011204718368165363,0.14187911258585498,0.003261785339096262,0.20959704833444262,2.4990000000000023,EGM5,0.53,RBA_reverse
0.53EGM6,-3.9984022495503796e-17,2.518104883383506e-16,-1.440757610587987e-17,0.0,3.4826449064633455e-05,0.001508612705761318,0.6325487226666794,0.011204718368165363,0.14187911258585498,0.0032269588900316246,0.20959704833444262,2.4990000000000023,EGM6,0.53,RBA_reverse
0.53EGM7,8.796484949010836e-17,0.0,-1.440757610587987e-17,0.0,0.0,0.0015434391548259558,0.6325487226666793,0.011204718368165363,0.14187911258585498,0.0032269588900316246,0.20959704833444262,2.4990000000000023,EGM7,0.53,RBA_reverse
0.53EGM8,8.796484949010836e-17,7.748015025795403e-17,-1.440757610587987e-17,0.0,0.0,0.001508612705761318,0.6325835491157439,0.011204718368165363,0.14187911258585498,0.0032269588900316246,0.20959704833444262,2.4990000000000023,EGM8,0.53,RBA_reverse
0.535EGM1,-8.792966355031232e-17,-5.808686864838813e-17,0.0,0.0,0.0,0.0015092163923182455,0.6331530982748653,0.01112028709097322,0.14081000631393417,0.003237079700288462,0.21017031222762053,2.500000000000002,EGM1,0.535,RBA_reverse
0.535EGM2,-7.194245199571008e-17,-5.808686864838813e-17,0.0,0.0,0.0,0.0015092163923182452,0.6332111255259442,0.011530144017543207,0.14062401100614882,0.003232803856185178,0.20989269920186038,2.500000000000002,EGM2,0.535,RBA_reverse
0.535EGM3,-1.9184653865522685e-16,5.808686864838813e-17,0.0,0.0,0.0,0.001509216392318245,0.633211125525944,0.011105598353473018,0.14104855667021898,0.0032328038561851777,0.20989269920186035,2.500000000000002,EGM3,0.535,RBA_reverse
0.535EGM4,-1.9184653865522685e-16,3.872457909892542e-17,0.0,0.00023795905680926776,0.0,0.0015092163923182452,0.6331146003771742,0.011130032262474221,0.14093340399686816,0.003232034581228711,0.20984275333312713,2.500000000000002,EGM4,0.535,RBA_reverse
